"Temperature (C)","Pressure (kpa)","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
8,1010,0,219,10,"2017-03-25 01:00:00"
8,1010,0,111,9,"2017-03-25 02:00:00"
8,1010,0,2,9,"2017-03-25 03:00:00"
10,1011,0,4,10,"2017-03-25 04:00:00"
10,1011,0,5,10,"2017-03-25 05:00:00"
12,1012,0,6,11,"2017-03-25 06:00:00"
16,1012,0,118,9,"2017-03-25 07:00:00"
20,1012,0,230,8,"2017-03-25 08:00:00"
24,1012,0,342,6,"2017-03-25 09:00:00"
24,1011,0,325,10,"2017-03-25 10:00:00"
26,1010,0,308,14,"2017-03-25 11:00:00"
26,1009,0,292,17,"2017-03-25 12:00:00"
24,1009,0,302,17,"2017-03-25 13:00:00"
24,1009,0,312,17,"2017-03-25 14:00:00"
22,1008,0,321,16,"2017-03-25 15:00:00"
20,1009,0,325,14,"2017-03-25 16:00:00"
18,1009,0,329,13,"2017-03-25 17:00:00"
16,1010,0,333,11,"2017-03-25 18:00:00"
16,1010,0,330,9,"2017-03-25 19:00:00"
14,1011,0,328,8,"2017-03-25 20:00:00"
14,1011,0,326,7,"2017-03-25 21:00:00"
14,1010,0,330,9,"2017-03-25 22:00:00"
12,1010,0,333,10,"2017-03-25 23:00:00"
12,1010,0,337,12,"2017-03-26 00:00:00"
12,1010,0,344,12,"2017-03-26 01:00:00"
12,1010,0,351,12,"2017-03-26 02:00:00"
10,1009,0,359,13,"2017-03-26 03:00:00"
12,1010,0,242,12,"2017-03-26 04:00:00"
16,1010,0,126,12,"2017-03-26 05:00:00"
18,1011,0,9,12,"2017-03-26 06:00:00"
22,1011,0,113,9,"2017-03-26 07:00:00"
26,1011,0,217,7,"2017-03-26 08:00:00"
30,1011,0,321,5,"2017-03-26 09:00:00"
30,1010,0,311,10,"2017-03-26 10:00:00"
30,1009,0,301,14,"2017-03-26 11:00:00"
30,1008,0,292,18,"2017-03-26 12:00:00"
30,1008,0,300,17,"2017-03-26 13:00:00"
28,1007,0,308,16,"2017-03-26 14:00:00"
26,1007,0,316,15,"2017-03-26 15:00:00"
24,1007,0,320,14,"2017-03-26 16:00:00"
22,1008,0,324,13,"2017-03-26 17:00:00"
20,1008,0,327,12,"2017-03-26 18:00:00"
18,1009,0,219,10,"2017-03-26 19:00:00"
18,1009,0,111,8,"2017-03-26 20:00:00"
16,1009,0,4,6,"2017-03-26 21:00:00"
16,1009,0,109,6,"2017-03-26 22:00:00"
16,1009,0,215,7,"2017-03-26 23:00:00"
14,1009,0,320,7,"2017-03-27 00:00:00"
14,1008,0,231,6,"2017-03-27 01:00:00"
14,1008,0,142,5,"2017-03-27 02:00:00"
12,1008,0,52,3,"2017-03-27 03:00:00"
16,1009,0,82,4,"2017-03-27 04:00:00"
18,1010,0,113,5,"2017-03-27 05:00:00"
20,1010,0,143,6,"2017-03-27 06:00:00"
22,1010,0,186,7,"2017-03-27 07:00:00"
26,1010,0,228,8,"2017-03-27 08:00:00"
28,1010,0,271,10,"2017-03-27 09:00:00"
28,1009,0,279,13,"2017-03-27 10:00:00"
28,1008,0,287,16,"2017-03-27 11:00:00"
28,1007,0,295,20,"2017-03-27 12:00:00"
28,1007,0,301,18,"2017-03-27 13:00:00"
28,1007,0,307,16,"2017-03-27 14:00:00"
28,1006,0,313,14,"2017-03-27 15:00:00"
24,1007,0,319,12,"2017-03-27 16:00:00"
22,1007,0,324,10,"2017-03-27 17:00:00"
20,1008,0,329,9,"2017-03-27 18:00:00"
20,1008,0,282,8,"2017-03-27 19:00:00"
18,1009,0,235,8,"2017-03-27 20:00:00"
18,1009,0,188,8,"2017-03-27 21:00:00"
16,1009,0,184,8,"2017-03-27 22:00:00"
16,1009,0,179,7,"2017-03-27 23:00:00"
14,1008,0,174,7,"2017-03-28 00:00:00"
14,1008,0,179,7,"2017-03-28 01:00:00"
12,1008,0,184,7,"2017-03-28 02:00:00"
12,1008,0,189,8,"2017-03-28 03:00:00"
14,1009,0,180,7,"2017-03-28 04:00:00"
16,1009,0,172,7,"2017-03-28 05:00:00"
18,1010,0,163,7,"2017-03-28 06:00:00"
22,1010,0,206,6,"2017-03-28 07:00:00"
24,1010,0,248,6,"2017-03-28 08:00:00"
28,1010,0,291,5,"2017-03-28 09:00:00"
28,1010,0,290,10,"2017-03-28 10:00:00"
28,1009,0,289,14,"2017-03-28 11:00:00"
30,1008,0,288,18,"2017-03-28 12:00:00"
28,1007,0,292,17,"2017-03-28 13:00:00"
26,1007,0,297,17,"2017-03-28 14:00:00"
26,1007,0,301,16,"2017-03-28 15:00:00"
24,1007,0,303,13,"2017-03-28 16:00:00"
22,1008,0,306,10,"2017-03-28 17:00:00"
18,1008,0,308,8,"2017-03-28 18:00:00"
18,1009,0,264,9,"2017-03-28 19:00:00"
16,1010,0,220,10,"2017-03-28 20:00:00"
16,1010,0,176,11,"2017-03-28 21:00:00"
14,1010,0,178,9,"2017-03-28 22:00:00"
14,1009,0,179,8,"2017-03-28 23:00:00"
12,1009,0,181,6,"2017-03-29 00:00:00"
12,1009,14,183,6,"2017-03-29 01:00:00"
10,1009,28,184,5,"2017-03-29 02:00:00"
10,1009,42,186,4,"2017-03-29 03:00:00"
12,1010,28,160,4,"2017-03-29 04:00:00"
14,1010,14,134,3,"2017-03-29 05:00:00"
16,1011,0,108,3,"2017-03-29 06:00:00"
20,1011,0,149,3,"2017-03-29 07:00:00"
24,1011,0,189,4,"2017-03-29 08:00:00"
28,1011,0,230,5,"2017-03-29 09:00:00"
28,1010,0,244,9,"2017-03-29 10:00:00"
28,1009,0,259,14,"2017-03-29 11:00:00"
28,1008,0,274,18,"2017-03-29 12:00:00"
28,1008,0,280,17,"2017-03-29 13:00:00"
26,1007,0,285,16,"2017-03-29 14:00:00"
26,1007,0,291,15,"2017-03-29 15:00:00"
22,1007,0,294,12,"2017-03-29 16:00:00"
20,1008,0,298,9,"2017-03-29 17:00:00"
18,1008,0,302,6,"2017-03-29 18:00:00"
18,1009,0,267,5,"2017-03-29 19:00:00"
16,1009,0,232,3,"2017-03-29 20:00:00"
16,1010,0,198,2,"2017-03-29 21:00:00"
16,1009,0,212,2,"2017-03-29 22:00:00"
14,1009,0,227,2,"2017-03-29 23:00:00"
14,1009,0,241,2,"2017-03-30 00:00:00"
14,1009,0,191,3,"2017-03-30 01:00:00"
12,1009,0,140,3,"2017-03-30 02:00:00"
12,1009,0,90,3,"2017-03-30 03:00:00"
16,1009,0,78,3,"2017-03-30 04:00:00"
18,1010,0,67,4,"2017-03-30 05:00:00"
22,1010,0,55,4,"2017-03-30 06:00:00"
24,1010,0,132,6,"2017-03-30 07:00:00"
28,1010,0,209,8,"2017-03-30 08:00:00"
30,1010,0,286,9,"2017-03-30 09:00:00"
30,1010,0,284,12,"2017-03-30 10:00:00"
32,1009,0,281,16,"2017-03-30 11:00:00"
32,1008,0,278,19,"2017-03-30 12:00:00"
30,1008,0,273,18,"2017-03-30 13:00:00"
28,1007,0,268,16,"2017-03-30 14:00:00"
26,1007,0,263,15,"2017-03-30 15:00:00"
24,1007,0,250,12,"2017-03-30 16:00:00"
22,1008,0,237,10,"2017-03-30 17:00:00"
18,1009,0,224,7,"2017-03-30 18:00:00"
18,1009,0,213,8,"2017-03-30 19:00:00"
18,1010,0,201,8,"2017-03-30 20:00:00"
16,1010,0,190,8,"2017-03-30 21:00:00"
16,1010,0,190,8,"2017-03-30 22:00:00"
14,1010,0,190,8,"2017-03-30 23:00:00"
14,1009,0,191,8,"2017-03-31 00:00:00"
14,1009,0,169,6,"2017-03-31 01:00:00"
12,1009,0,147,5,"2017-03-31 02:00:00"
12,1009,0,125,3,"2017-03-31 03:00:00"
14,1009,0,126,3,"2017-03-31 04:00:00"
16,1010,0,126,4,"2017-03-31 05:00:00"
18,1010,0,126,4,"2017-03-31 06:00:00"
20,1010,0,164,6,"2017-03-31 07:00:00"
24,1010,0,201,8,"2017-03-31 08:00:00"
26,1010,0,238,9,"2017-03-31 09:00:00"
26,1009,0,244,13,"2017-03-31 10:00:00"
26,1008,0,249,17,"2017-03-31 11:00:00"
26,1008,0,255,20,"2017-03-31 12:00:00"
26,1007,0,256,18,"2017-03-31 13:00:00"
24,1007,0,258,16,"2017-03-31 14:00:00"
22,1006,0,259,14,"2017-03-31 15:00:00"
20,1007,0,255,12,"2017-03-31 16:00:00"
18,1007,0,252,10,"2017-03-31 17:00:00"
16,1008,0,249,8,"2017-03-31 18:00:00"
16,1008,0,227,8,"2017-03-31 19:00:00"
16,1009,0,206,9,"2017-03-31 20:00:00"
16,1009,0,185,9,"2017-03-31 21:00:00"
14,1009,0,184,9,"2017-03-31 22:00:00"
14,1009,0,183,8,"2017-03-31 23:00:00"
14,1008,0,182,7,"2017-04-01 00:00:00"
12,1008,5,175,6,"2017-04-01 01:00:00"
12,1009,11,168,6,"2017-04-01 02:00:00"
12,1009,16,161,5,"2017-04-01 03:00:00"
14,1009,15,171,6,"2017-04-01 04:00:00"
14,1009,13,181,7,"2017-04-01 05:00:00"
16,1010,12,191,8,"2017-04-01 06:00:00"
18,1009,8,215,8,"2017-04-01 07:00:00"
22,1009,4,239,8,"2017-04-01 08:00:00"
24,1009,0,263,8,"2017-04-01 09:00:00"
24,1008,0,264,12,"2017-04-01 10:00:00"
26,1007,0,265,15,"2017-04-01 11:00:00"
26,1007,0,266,19,"2017-04-01 12:00:00"
24,1006,0,270,17,"2017-04-01 13:00:00"
22,1006,0,275,15,"2017-04-01 14:00:00"
22,1005,0,279,13,"2017-04-01 15:00:00"
20,1006,0,277,12,"2017-04-01 16:00:00"
18,1006,0,275,10,"2017-04-01 17:00:00"
16,1007,0,273,9,"2017-04-01 18:00:00"
16,1007,0,261,7,"2017-04-01 19:00:00"
14,1008,0,249,5,"2017-04-01 20:00:00"
14,1008,0,237,3,"2017-04-01 21:00:00"
14,1008,0,215,3,"2017-04-01 22:00:00"
14,1008,0,194,3,"2017-04-01 23:00:00"
12,1007,0,172,3,"2017-04-02 00:00:00"
12,1007,0,177,2,"2017-04-02 01:00:00"
12,1007,0,182,2,"2017-04-02 02:00:00"
12,1007,0,186,1,"2017-04-02 03:00:00"
14,1008,0,230,2,"2017-04-02 04:00:00"
16,1009,0,274,3,"2017-04-02 05:00:00"
18,1009,0,318,4,"2017-04-02 06:00:00"
20,1009,0,312,6,"2017-04-02 07:00:00"
24,1009,0,305,8,"2017-04-02 08:00:00"
26,1009,0,299,10,"2017-04-02 09:00:00"
26,1008,0,297,14,"2017-04-02 10:00:00"
28,1008,0,295,18,"2017-04-02 11:00:00"
28,1007,0,293,22,"2017-04-02 12:00:00"
28,1007,0,297,20,"2017-04-02 13:00:00"
26,1006,0,301,18,"2017-04-02 14:00:00"
26,1006,0,305,16,"2017-04-02 15:00:00"
24,1006,0,298,15,"2017-04-02 16:00:00"
20,1007,0,290,13,"2017-04-02 17:00:00"
18,1007,0,282,12,"2017-04-02 18:00:00"
16,1008,0,268,9,"2017-04-02 19:00:00"
16,1009,0,255,6,"2017-04-02 20:00:00"
14,1010,0,241,4,"2017-04-02 21:00:00"
14,1009,0,218,3,"2017-04-02 22:00:00"
12,1009,0,196,3,"2017-04-02 23:00:00"
12,1009,0,173,3,"2017-04-03 00:00:00"
12,1009,0,204,2,"2017-04-03 01:00:00"
12,1009,0,236,1,"2017-04-03 02:00:00"
12,1009,0,267,0,"2017-04-03 03:00:00"
14,1010,0,292,1,"2017-04-03 04:00:00"
16,1010,0,317,1,"2017-04-03 05:00:00"
18,1010,0,342,2,"2017-04-03 06:00:00"
20,1011,0,320,4,"2017-04-03 07:00:00"
24,1011,0,299,7,"2017-04-03 08:00:00"
26,1011,0,277,9,"2017-04-03 09:00:00"
26,1010,0,280,13,"2017-04-03 10:00:00"
26,1009,0,283,16,"2017-04-03 11:00:00"
28,1009,0,286,20,"2017-04-03 12:00:00"
26,1008,0,287,18,"2017-04-03 13:00:00"
26,1008,0,289,16,"2017-04-03 14:00:00"
24,1008,0,291,15,"2017-04-03 15:00:00"
22,1008,0,289,14,"2017-04-03 16:00:00"
20,1009,0,288,13,"2017-04-03 17:00:00"
18,1009,0,287,12,"2017-04-03 18:00:00"
16,1010,0,289,9,"2017-04-03 19:00:00"
16,1010,0,292,6,"2017-04-03 20:00:00"
14,1011,0,294,2,"2017-04-03 21:00:00"
14,1010,0,305,3,"2017-04-03 22:00:00"
14,1010,0,316,4,"2017-04-03 23:00:00"
12,1010,0,327,5,"2017-04-04 00:00:00"
12,1010,0,224,6,"2017-04-04 01:00:00"
12,1010,0,121,7,"2017-04-04 02:00:00"
12,1010,0,18,8,"2017-04-04 03:00:00"
14,1010,0,18,9,"2017-04-04 04:00:00"
16,1010,0,19,9,"2017-04-04 05:00:00"
20,1011,0,20,9,"2017-04-04 06:00:00"
22,1011,0,113,9,"2017-04-04 07:00:00"
26,1010,0,206,10,"2017-04-04 08:00:00"
28,1010,0,299,10,"2017-04-04 09:00:00"
30,1009,0,300,14,"2017-04-04 10:00:00"
30,1009,0,302,18,"2017-04-04 11:00:00"
30,1008,0,303,22,"2017-04-04 12:00:00"
30,1008,0,306,21,"2017-04-04 13:00:00"
28,1007,0,308,19,"2017-04-04 14:00:00"
26,1007,0,310,17,"2017-04-04 15:00:00"
24,1007,0,310,17,"2017-04-04 16:00:00"
22,1008,0,311,16,"2017-04-04 17:00:00"
20,1008,0,311,16,"2017-04-04 18:00:00"
18,1009,0,309,12,"2017-04-04 19:00:00"
16,1009,0,306,8,"2017-04-04 20:00:00"
16,1010,0,304,4,"2017-04-04 21:00:00"
14,1010,0,312,6,"2017-04-04 22:00:00"
14,1009,0,319,7,"2017-04-04 23:00:00"
14,1009,0,327,9,"2017-04-05 00:00:00"
14,1009,0,218,8,"2017-04-05 01:00:00"
14,1009,0,109,7,"2017-04-05 02:00:00"
12,1009,0,0,6,"2017-04-05 03:00:00"
14,1009,0,116,6,"2017-04-05 04:00:00"
18,1010,0,231,6,"2017-04-05 05:00:00"
20,1010,0,346,6,"2017-04-05 06:00:00"
22,1010,0,325,7,"2017-04-05 07:00:00"
24,1010,0,304,9,"2017-04-05 08:00:00"
26,1010,0,282,11,"2017-04-05 09:00:00"
26,1009,0,281,14,"2017-04-05 10:00:00"
26,1009,0,280,17,"2017-04-05 11:00:00"
26,1008,0,279,20,"2017-04-05 12:00:00"
24,1008,0,273,17,"2017-04-05 13:00:00"
24,1007,0,268,15,"2017-04-05 14:00:00"
22,1007,0,263,12,"2017-04-05 15:00:00"
20,1008,0,254,11,"2017-04-05 16:00:00"
18,1008,0,246,11,"2017-04-05 17:00:00"
16,1009,0,238,10,"2017-04-05 18:00:00"
16,1009,1,237,9,"2017-04-05 19:00:00"
14,1009,1,237,8,"2017-04-05 20:00:00"
14,1010,2,236,7,"2017-04-05 21:00:00"
14,1009,5,249,7,"2017-04-05 22:00:00"
12,1009,7,261,7,"2017-04-05 23:00:00"
12,1009,10,274,6,"2017-04-06 00:00:00"
12,1009,9,253,5,"2017-04-06 01:00:00"
12,1009,8,232,3,"2017-04-06 02:00:00"
12,1009,8,211,2,"2017-04-06 03:00:00"
14,1009,5,218,2,"2017-04-06 04:00:00"
14,1009,3,225,3,"2017-04-06 05:00:00"
16,1010,0,233,3,"2017-04-06 06:00:00"
20,1010,0,240,6,"2017-04-06 07:00:00"
22,1010,0,247,9,"2017-04-06 08:00:00"
24,1010,0,255,12,"2017-04-06 09:00:00"
24,1009,0,259,15,"2017-04-06 10:00:00"
24,1008,0,263,17,"2017-04-06 11:00:00"
24,1008,0,267,20,"2017-04-06 12:00:00"
24,1008,0,259,17,"2017-04-06 13:00:00"
22,1007,0,252,14,"2017-04-06 14:00:00"
20,1007,0,244,11,"2017-04-06 15:00:00"
18,1008,3,237,11,"2017-04-06 16:00:00"
16,1009,6,230,11,"2017-04-06 17:00:00"
16,1009,9,223,10,"2017-04-06 18:00:00"
14,1010,13,216,10,"2017-04-06 19:00:00"
14,1010,18,208,9,"2017-04-06 20:00:00"
14,1010,22,201,8,"2017-04-06 21:00:00"
14,1010,27,198,7,"2017-04-06 22:00:00"
14,1009,32,196,7,"2017-04-06 23:00:00"
12,1009,37,193,6,"2017-04-07 00:00:00"
12,1009,36,184,6,"2017-04-07 01:00:00"
12,1009,34,174,5,"2017-04-07 02:00:00"
12,1009,33,164,5,"2017-04-07 03:00:00"
12,1009,24,174,6,"2017-04-07 04:00:00"
14,1010,15,183,7,"2017-04-07 05:00:00"
16,1010,5,192,8,"2017-04-07 06:00:00"
18,1010,4,201,10,"2017-04-07 07:00:00"
20,1010,2,211,12,"2017-04-07 08:00:00"
24,1010,0,220,14,"2017-04-07 09:00:00"
24,1010,0,225,16,"2017-04-07 10:00:00"
24,1009,0,230,19,"2017-04-07 11:00:00"
24,1009,0,236,21,"2017-04-07 12:00:00"
22,1009,0,231,19,"2017-04-07 13:00:00"
22,1008,0,227,16,"2017-04-07 14:00:00"
20,1008,0,223,14,"2017-04-07 15:00:00"
18,1009,0,223,14,"2017-04-07 16:00:00"
18,1010,0,223,13,"2017-04-07 17:00:00"
16,1010,0,223,13,"2017-04-07 18:00:00"
16,1010,3,215,11,"2017-04-07 19:00:00"
14,1011,7,208,10,"2017-04-07 20:00:00"
14,1011,10,201,9,"2017-04-07 21:00:00"
14,1010,21,197,9,"2017-04-07 22:00:00"
14,1010,31,194,9,"2017-04-07 23:00:00"
12,1010,41,191,9,"2017-04-08 00:00:00"
12,1010,38,183,8,"2017-04-08 01:00:00"
12,1010,34,175,8,"2017-04-08 02:00:00"
12,1010,30,168,8,"2017-04-08 03:00:00"
14,1010,23,180,8,"2017-04-08 04:00:00"
16,1011,16,192,8,"2017-04-08 05:00:00"
16,1011,9,204,9,"2017-04-08 06:00:00"
18,1011,6,211,10,"2017-04-08 07:00:00"
22,1011,3,218,12,"2017-04-08 08:00:00"
24,1011,0,226,14,"2017-04-08 09:00:00"
24,1010,0,233,16,"2017-04-08 10:00:00"
24,1010,0,241,18,"2017-04-08 11:00:00"
24,1009,0,249,19,"2017-04-08 12:00:00"
24,1009,0,246,17,"2017-04-08 13:00:00"
22,1009,0,243,15,"2017-04-08 14:00:00"
20,1009,0,241,13,"2017-04-08 15:00:00"
20,1009,5,238,12,"2017-04-08 16:00:00"
18,1010,10,236,11,"2017-04-08 17:00:00"
16,1010,15,233,10,"2017-04-08 18:00:00"
16,1010,34,223,9,"2017-04-08 19:00:00"
14,1011,52,212,7,"2017-04-08 20:00:00"
14,1011,71,202,5,"2017-04-08 21:00:00"
14,1010,64,192,5,"2017-04-08 22:00:00"
14,1010,57,183,5,"2017-04-08 23:00:00"
14,1010,50,173,5,"2017-04-09 00:00:00"
12,1010,57,171,6,"2017-04-09 01:00:00"
12,1010,64,168,6,"2017-04-09 02:00:00"
12,1010,71,165,7,"2017-04-09 03:00:00"
14,1011,59,176,7,"2017-04-09 04:00:00"
14,1011,46,187,7,"2017-04-09 05:00:00"
